t_mono,wall_ts,model,phase,gpu_w,gpu_temp_c,cpu_temp_c,cpu_pct,reasoning_mode
10520.673,,gemma3:1b,run1_p11,104.78,62.0,,,n/a
10521.203,,gemma3:1b,run1_p11,105.90,61.0,,,n/a
10521.728,,gemma3:1b,run1_p11,105.29,62.0,,,n/a
10522.257,,gemma3:1b,run1_p12,86.37,55.0,,,n/a
10522.797,,gemma3:1b,run1_p12,72.22,59.0,,,n/a
10523.324,,gemma3:1b,run1_p12,91.59,61.0,,,n/a
10523.913,,gemma3:1b,run1_p13,96.78,61.0,,,n/a
10524.438,,gemma3:1b,run1_p13,88.06,55.0,,,n/a
10524.963,,gemma3:1b,run1_p13,91.53,61.0,,,n/a
10525.488,,gemma3:1b,run1_p13,105.05,61.0,,,n/a
10526.016,,gemma3:1b,run1_p13,105.54,62.0,,,n/a
10526.543,,gemma3:1b,run1_p13,105.47,62.0,,,n/a
10527.080,,gemma3:1b,run1_p13,104.67,62.0,,,n/a
10527.607,,gemma3:1b,run1_p14,85.12,61.0,,,n/a
10528.132,,gemma3:1b,run1_p14,73.91,53.0,,,n/a
10528.661,,gemma3:1b,run1_p14,87.76,61.0,,,n/a
10529.184,,gemma3:1b,run1_p14,105.31,61.0,,,n/a
10529.708,,gemma3:1b,run1_p14,105.05,61.0,,,n/a
10530.237,,gemma3:1b,run1_p14,103.82,60.0,,,n/a
10530.763,,gemma3:1b,run1_p14,103.93,61.0,,,n/a
10531.287,,gemma3:1b,run1_p14,105.73,61.0,,,n/a
10531.811,,gemma3:1b,run1_p14,105.39,60.0,,,n/a
10532.341,,gemma3:1b,run1_p14,104.89,61.0,,,n/a
10532.869,,gemma3:1b,run1_p14,106.48,61.0,,,n/a
10533.403,,gemma3:1b,run1_p14,106.86,61.0,,,n/a
10533.939,,gemma3:1b,run2_p0,105.40,61.0,,,n/a
10534.465,,gemma3:1b,run2_p1,80.10,54.0,,,n/a
10534.990,,gemma3:1b,run2_p1,69.80,52.0,,,n/a
10535.531,,gemma3:1b,run2_p2,71.63,60.0,,,n/a
10536.056,,gemma3:1b,run2_p3,63.70,52.0,,,n/a
10536.583,,gemma3:1b,run2_p4,59.25,52.0,,,n/a
10537.116,,gemma3:1b,run2_p5,58.65,53.0,,,n/a
10537.649,,gemma3:1b,run2_p6,65.17,55.0,,,n/a
10538.175,,gemma3:1b,run2_p6,70.96,57.0,,,n/a
10538.701,,gemma3:1b,run2_p6,89.82,59.0,,,n/a
10539.231,,gemma3:1b,run2_p6,102.39,59.0,,,n/a
10539.758,,gemma3:1b,run2_p6,103.14,60.0,,,n/a
10540.283,,gemma3:1b,run2_p6,103.48,60.0,,,n/a
10540.813,,gemma3:1b,run2_p6,103.57,59.0,,,n/a
10541.339,,gemma3:1b,run2_p6,104.56,60.0,,,n/a
10541.867,,gemma3:1b,run2_p6,104.57,59.0,,,n/a
10542.399,,gemma3:1b,run2_p7,79.54,55.0,,,n/a
10542.922,,gemma3:1b,run2_p7,67.69,51.0,,,n/a
10543.452,,gemma3:1b,run2_p7,92.25,59.0,,,n/a
10543.976,,gemma3:1b,run2_p7,104.42,60.0,,,n/a
10544.502,,gemma3:1b,run2_p7,104.93,60.0,,,n/a
10545.026,,gemma3:1b,run2_p7,105.46,60.0,,,n/a
10545.553,,gemma3:1b,run2_p7,103.79,59.0,,,n/a
10546.086,,gemma3:1b,run2_p7,103.88,60.0,,,n/a
10546.610,,gemma3:1b,run2_p7,104.64,60.0,,,n/a
10547.136,,gemma3:1b,run2_p7,105.20,60.0,,,n/a
10547.663,,gemma3:1b,run2_p8,98.01,60.0,,,n/a
10548.192,,gemma3:1b,run2_p8,82.68,57.0,,,n/a
10548.720,,gemma3:1b,run2_p8,90.10,59.0,,,n/a
10549.243,,gemma3:1b,run2_p8,105.38,60.0,,,n/a
10549.770,,gemma3:1b,run2_p8,105.16,60.0,,,n/a
10550.295,,gemma3:1b,run2_p8,105.20,60.0,,,n/a
10550.818,,gemma3:1b,run2_p8,105.75,60.0,,,n/a
10551.344,,gemma3:1b,run2_p8,106.21,60.0,,,n/a
10551.871,,gemma3:1b,run2_p8,106.18,60.0,,,n/a
10552.395,,gemma3:1b,run2_p8,106.43,60.0,,,n/a
10552.920,,gemma3:1b,run2_p9,88.25,60.0,,,n/a
10553.444,,gemma3:1b,run2_p9,71.07,52.0,,,n/a
10554.020,,gemma3:1b,run2_p10,83.72,53.0,,,n/a
10554.547,,gemma3:1b,run2_p10,86.88,59.0,,,n/a
10555.072,,gemma3:1b,run2_p10,94.26,59.0,,,n/a
10555.599,,gemma3:1b,run2_p10,104.36,60.0,,,n/a
10556.124,,gemma3:1b,run2_p10,105.22,60.0,,,n/a
10556.647,,gemma3:1b,run2_p10,105.58,60.0,,,n/a
10557.173,,gemma3:1b,run2_p10,104.85,60.0,,,n/a
10557.697,,gemma3:1b,run2_p10,105.63,60.0,,,n/a
10558.223,,gemma3:1b,run2_p10,106.51,60.0,,,n/a
10558.747,,gemma3:1b,run2_p10,106.45,60.0,,,n/a
10559.273,,gemma3:1b,run2_p11,83.40,54.0,,,n/a
10559.796,,gemma3:1b,run2_p11,72.02,56.0,,,n/a
10560.322,,gemma3:1b,run2_p11,88.69,60.0,,,n/a
10560.847,,gemma3:1b,run2_p11,106.32,60.0,,,n/a
10561.373,,gemma3:1b,run2_p11,106.33,60.0,,,n/a
10561.898,,gemma3:1b,run2_p11,106.13,60.0,,,n/a
10562.423,,gemma3:1b,run2_p11,105.98,60.0,,,n/a
10562.953,,gemma3:1b,run2_p11,106.65,60.0,,,n/a
10563.475,,gemma3:1b,run2_p11,107.25,60.0,,,n/a
10564.002,,gemma3:1b,run2_p11,106.36,60.0,,,n/a
10564.533,,gemma3:1b,run2_p11,105.13,60.0,,,n/a
10565.059,,gemma3:1b,run2_p11,104.92,60.0,,,n/a
10565.583,,gemma3:1b,run2_p11,105.03,60.0,,,n/a
10566.107,,gemma3:1b,run2_p11,105.29,60.0,,,n/a
10566.631,,gemma3:1b,run2_p11,105.74,59.0,,,n/a
10567.160,,gemma3:1b,run2_p11,106.03,60.0,,,n/a
10567.727,,gemma3:1b,run2_p12,99.14,60.0,,,n/a
10568.286,,gemma3:1b,run2_p12,87.38,57.0,,,n/a
10568.813,,gemma3:1b,run2_p12,93.99,59.0,,,n/a
10569.397,,gemma3:1b,run2_p13,94.59,60.0,,,n/a
10569.919,,gemma3:1b,run2_p13,87.36,59.0,,,n/a
10570.446,,gemma3:1b,run2_p13,91.24,60.0,,,n/a
10570.969,,gemma3:1b,run2_p13,105.78,60.0,,,n/a
10571.500,,gemma3:1b,run2_p13,105.94,60.0,,,n/a
10572.023,,gemma3:1b,run2_p13,106.50,60.0,,,n/a
10572.553,,gemma3:1b,run2_p13,106.47,60.0,,,n/a
10573.081,,gemma3:1b,run2_p14,87.01,55.0,,,n/a
10573.609,,gemma3:1b,run2_p14,69.16,57.0,,,n/a
10574.134,,gemma3:1b,run2_p14,90.81,59.0,,,n/a
10574.657,,gemma3:1b,run2_p14,105.36,60.0,,,n/a
10575.184,,gemma3:1b,run2_p14,105.22,60.0,,,n/a
10575.710,,gemma3:1b,run2_p14,106.32,60.0,,,n/a
10576.231,,gemma3:1b,run2_p14,106.65,60.0,,,n/a
10576.757,,gemma3:1b,run2_p14,106.30,60.0,,,n/a
10577.285,,gemma3:1b,run2_p14,106.23,60.0,,,n/a
10577.810,,gemma3:1b,run2_p14,105.00,60.0,,,n/a
10578.341,,gemma3:1b,run2_p14,104.52,60.0,,,n/a
10578.866,,gemma3:1b,run2_p14,105.44,60.0,,,n/a
10579.403,,gemma3:1b,run3_p0,84.54,52.0,,,n/a
10579.935,,gemma3:1b,run3_p1,67.12,54.0,,,n/a
10580.467,,gemma3:1b,run3_p2,68.27,58.0,,,n/a
10581.007,,gemma3:1b,run3_p3,66.99,55.0,,,n/a
10581.545,,gemma3:1b,run3_p4,60.24,54.0,,,n/a
10582.073,,gemma3:1b,run3_p5,64.00,57.0,,,n/a
10582.603,,gemma3:1b,run3_p6,71.17,57.0,,,n/a
10583.132,,gemma3:1b,run3_p6,76.43,57.0,,,n/a
10583.662,,gemma3:1b,run3_p6,92.75,58.0,,,n/a
10584.190,,gemma3:1b,run3_p6,104.72,59.0,,,n/a
10584.720,,gemma3:1b,run3_p6,104.50,58.0,,,n/a
10585.247,,gemma3:1b,run3_p6,104.46,59.0,,,n/a
10585.779,,gemma3:1b,run3_p6,104.91,59.0,,,n/a
10586.305,,gemma3:1b,run3_p6,103.97,59.0,,,n/a
10586.832,,gemma3:1b,run3_p6,101.71,58.0,,,n/a
10587.362,,gemma3:1b,run3_p7,101.35,59.0,,,n/a
10587.891,,gemma3:1b,run3_p7,91.03,55.0,,,n/a
10588.435,,gemma3:1b,run3_p7,91.22,59.0,,,n/a
10588.964,,gemma3:1b,run3_p7,99.09,58.0,,,n/a
10589.497,,gemma3:1b,run3_p7,98.36,59.0,,,n/a
10590.022,,gemma3:1b,run3_p7,102.93,59.0,,,n/a
10590.551,,gemma3:1b,run3_p7,105.42,60.0,,,n/a
10591.075,,gemma3:1b,run3_p7,105.55,60.0,,,n/a
10591.597,,gemma3:1b,run3_p7,104.62,60.0,,,n/a
10592.139,,gemma3:1b,run3_p7,104.12,60.0,,,n/a
10592.719,,gemma3:1b,run3_p8,91.40,59.0,,,n/a
10593.247,,gemma3:1b,run3_p8,84.17,55.0,,,n/a
10593.772,,gemma3:1b,run3_p8,89.54,59.0,,,n/a
10594.303,,gemma3:1b,run3_p8,101.31,59.0,,,n/a
10594.827,,gemma3:1b,run3_p8,102.22,60.0,,,n/a
10595.351,,gemma3:1b,run3_p8,102.25,59.0,,,n/a
10595.873,,gemma3:1b,run3_p8,102.80,59.0,,,n/a
10596.399,,gemma3:1b,run3_p8,104.22,60.0,,,n/a
10596.927,,gemma3:1b,run3_p8,90.07,54.0,,,n/a
10597.493,,gemma3:1b,run3_p8,65.39,53.0,,,n/a
10598.020,,gemma3:1b,run3_p8,62.76,53.0,,,n/a
10598.603,,gemma3:1b,run3_p8,73.79,55.0,,,n/a
10599.128,,gemma3:1b,run3_p8,91.77,58.0,,,n/a
10599.663,,gemma3:1b,run3_p9,73.66,52.0,,,n/a
10600.195,,gemma3:1b,run3_p9,53.92,50.0,,,n/a
10600.725,,gemma3:1b,run3_p9,61.17,53.0,,,n/a
10601.283,,gemma3:1b,run3_p10,60.17,50.0,,,n/a
10601.807,,gemma3:1b,run3_p10,51.56,51.0,,,n/a
10602.351,,gemma3:1b,run3_p10,53.58,52.0,,,n/a
10602.874,,gemma3:1b,run3_p10,62.06,52.0,,,n/a
10603.398,,gemma3:1b,run3_p10,62.51,52.0,,,n/a
10603.926,,gemma3:1b,run3_p10,62.81,52.0,,,n/a
10604.451,,gemma3:1b,run3_p10,62.69,52.0,,,n/a
10604.974,,gemma3:1b,run3_p10,61.53,52.0,,,n/a
10605.498,,gemma3:1b,run3_p10,61.60,52.0,,,n/a
10606.022,,gemma3:1b,run3_p10,62.22,52.0,,,n/a
10606.591,,gemma3:1b,run3_p11,52.25,52.0,,,n/a
10607.114,,gemma3:1b,run3_p11,44.91,48.0,,,n/a
10607.641,,gemma3:1b,run3_p11,55.63,51.0,,,n/a
10608.170,,gemma3:1b,run3_p11,63.37,51.0,,,n/a
10608.696,,gemma3:1b,run3_p11,62.87,51.0,,,n/a
10609.225,,gemma3:1b,run3_p11,70.35,56.0,,,n/a
10609.749,,gemma3:1b,run3_p11,87.97,57.0,,,n/a
10610.277,,gemma3:1b,run3_p11,102.07,58.0,,,n/a
10610.812,,gemma3:1b,run3_p11,102.72,57.0,,,n/a
10611.340,,gemma3:1b,run3_p11,102.48,58.0,,,n/a
10611.864,,gemma3:1b,run3_p11,95.49,54.0,,,n/a
10612.389,,gemma3:1b,run3_p11,79.17,52.0,,,n/a
10612.922,,gemma3:1b,run3_p11,63.73,52.0,,,n/a
10613.445,,gemma3:1b,run3_p11,62.03,51.0,,,n/a
10613.972,,gemma3:1b,run3_p11,61.57,51.0,,,n/a
10614.501,,gemma3:1b,run3_p11,62.87,51.0,,,n/a
10615.031,,gemma3:1b,run3_p11,84.23,56.0,,,n/a
10615.557,,gemma3:1b,run3_p11,100.41,57.0,,,n/a
10616.085,,gemma3:1b,run3_p12,74.71,51.0,,,n/a
10616.614,,gemma3:1b,run3_p12,62.01,51.0,,,n/a
10617.138,,gemma3:1b,run3_p12,87.84,57.0,,,n/a
10617.663,,gemma3:1b,run3_p13,100.86,58.0,,,n/a
10618.192,,gemma3:1b,run3_p13,88.65,51.0,,,n/a
10618.718,,gemma3:1b,run3_p13,89.50,57.0,,,n/a
10619.246,,gemma3:1b,run3_p13,101.48,57.0,,,n/a
10619.772,,gemma3:1b,run3_p13,101.89,58.0,,,n/a
10620.295,,gemma3:1b,run3_p13,103.05,58.0,,,n/a
10620.820,,gemma3:1b,run3_p13,103.20,58.0,,,n/a
10621.344,,gemma3:1b,run3_p13,103.45,58.0,,,n/a
10621.923,,gemma3:1b,run3_p14,91.49,55.0,,,n/a
10622.450,,gemma3:1b,run3_p14,84.57,57.0,,,n/a
10622.976,,gemma3:1b,run3_p14,88.80,58.0,,,n/a
10623.502,,gemma3:1b,run3_p14,102.75,58.0,,,n/a
10624.028,,gemma3:1b,run3_p14,103.13,59.0,,,n/a
10624.553,,gemma3:1b,run3_p14,103.97,59.0,,,n/a
10625.086,,gemma3:1b,run3_p14,103.72,58.0,,,n/a
10625.612,,gemma3:1b,run3_p14,103.56,59.0,,,n/a
10626.135,,gemma3:1b,run3_p14,104.14,59.0,,,n/a
10626.660,,gemma3:1b,run3_p14,104.85,59.0,,,n/a
10627.186,,gemma3:1b,run3_p14,104.79,59.0,,,n/a
10627.709,,gemma3:1b,run3_p14,104.75,59.0,,,n/a
10628.241,,gemma3:1b,run3_p14,104.79,59.0,,,n/a
10671.535,,gemma3:4b,idle,15.79,42.0,,,n/a
10672.064,,gemma3:4b,idle,15.68,42.0,,,n/a
10672.595,,gemma3:4b,idle,15.71,42.0,,,n/a
10673.124,,gemma3:4b,idle,15.76,42.0,,,n/a
10673.655,,gemma3:4b,idle,15.75,42.0,,,n/a
10674.183,,gemma3:4b,idle,15.85,42.0,,,n/a
10674.710,,gemma3:4b,idle,16.01,42.0,,,n/a
10675.235,,gemma3:4b,idle,15.92,42.0,,,n/a
10675.765,,gemma3:4b,idle,15.71,42.0,,,n/a
10676.291,,gemma3:4b,idle,15.52,42.0,,,n/a
10676.814,,gemma3:4b,idle,15.52,42.0,,,n/a
10677.340,,gemma3:4b,idle,15.55,42.0,,,n/a
10677.870,,gemma3:4b,idle,15.53,42.0,,,n/a
10678.399,,gemma3:4b,idle,15.54,42.0,,,n/a
10678.924,,gemma3:4b,idle,15.61,42.0,,,n/a
10679.454,,gemma3:4b,idle,15.65,42.0,,,n/a
10679.980,,gemma3:4b,idle,15.58,42.0,,,n/a
10680.506,,gemma3:4b,idle,15.67,41.0,,,n/a
10681.031,,gemma3:4b,idle,15.64,41.0,,,n/a
10681.604,,gemma3:4b,run1_p0,15.64,41.0,,,n/a
10682.133,,gemma3:4b,run1_p0,21.66,42.0,,,n/a
10682.661,,gemma3:4b,run1_p1,43.58,48.0,,,n/a
10683.185,,gemma3:4b,run1_p1,57.81,46.0,,,n/a
10683.710,,gemma3:4b,run1_p1,64.58,48.0,,,n/a
10684.241,,gemma3:4b,run1_p1,75.97,49.0,,,n/a
10684.764,,gemma3:4b,run1_p1,76.13,49.0,,,n/a
10685.300,,gemma3:4b,run1_p2,75.46,49.0,,,n/a
10685.824,,gemma3:4b,run1_p2,65.08,45.0,,,n/a
10686.356,,gemma3:4b,run1_p3,62.56,49.0,,,n/a
10686.880,,gemma3:4b,run1_p3,60.25,44.0,,,n/a
10687.403,,gemma3:4b,run1_p3,63.07,49.0,,,n/a
10687.928,,gemma3:4b,run1_p3,76.65,49.0,,,n/a
10688.457,,gemma3:4b,run1_p4,72.94,50.0,,,n/a
10688.982,,gemma3:4b,run1_p4,62.50,48.0,,,n/a
10689.516,,gemma3:4b,run1_p5,57.00,46.0,,,n/a
10690.040,,gemma3:4b,run1_p5,56.81,47.0,,,n/a
10690.566,,gemma3:4b,run1_p5,61.83,50.0,,,n/a
10691.096,,gemma3:4b,run1_p6,81.48,55.0,,,n/a
10691.622,,gemma3:4b,run1_p6,70.13,47.0,,,n/a
10692.149,,gemma3:4b,run1_p6,63.65,50.0,,,n/a
10692.675,,gemma3:4b,run1_p6,75.62,50.0,,,n/a
10693.241,,gemma3:4b,run1_p6,75.29,50.0,,,n/a
10693.765,,gemma3:4b,run1_p6,79.94,49.0,,,n/a
10694.290,,gemma3:4b,run1_p6,104.47,56.0,,,n/a
10694.825,,gemma3:4b,run1_p6,119.67,57.0,,,n/a
10695.349,,gemma3:4b,run1_p6,119.13,57.0,,,n/a
10695.877,,gemma3:4b,run1_p6,119.71,58.0,,,n/a
10696.404,,gemma3:4b,run1_p6,120.66,59.0,,,n/a
10696.933,,gemma3:4b,run1_p6,121.08,59.0,,,n/a
10697.456,,gemma3:4b,run1_p6,121.85,59.0,,,n/a
10697.989,,gemma3:4b,run1_p6,122.76,59.0,,,n/a
10698.525,,gemma3:4b,run1_p6,123.14,59.0,,,n/a
10699.062,,gemma3:4b,run1_p6,123.54,59.0,,,n/a
10699.596,,gemma3:4b,run1_p6,123.80,60.0,,,n/a
10700.123,,gemma3:4b,run1_p6,123.92,60.0,,,n/a
10700.657,,gemma3:4b,run1_p6,123.76,61.0,,,n/a
10701.190,,gemma3:4b,run1_p6,124.11,60.0,,,n/a
10701.714,,gemma3:4b,run1_p6,124.37,60.0,,,n/a
10702.317,,gemma3:4b,run1_p6,124.44,60.0,,,n/a
10702.846,,gemma3:4b,run1_p6,124.72,60.0,,,n/a
10703.375,,gemma3:4b,run1_p6,124.70,60.0,,,n/a
10703.902,,gemma3:4b,run1_p6,124.86,59.0,,,n/a
10704.428,,gemma3:4b,run1_p6,124.95,61.0,,,n/a
10704.951,,gemma3:4b,run1_p6,124.93,61.0,,,n/a
10705.484,,gemma3:4b,run1_p7,93.02,51.0,,,n/a
10706.008,,gemma3:4b,run1_p7,75.65,59.0,,,n/a
10706.531,,gemma3:4b,run1_p7,107.83,62.0,,,n/a
10707.054,,gemma3:4b,run1_p7,125.83,61.0,,,n/a
10707.578,,gemma3:4b,run1_p7,126.14,62.0,,,n/a
10708.105,,gemma3:4b,run1_p7,126.18,62.0,,,n/a
10708.630,,gemma3:4b,run1_p7,125.97,62.0,,,n/a
10709.155,,gemma3:4b,run1_p7,125.92,62.0,,,n/a
10709.679,,gemma3:4b,run1_p7,126.10,62.0,,,n/a
10710.206,,gemma3:4b,run1_p7,126.10,62.0,,,n/a
10710.729,,gemma3:4b,run1_p7,126.17,62.0,,,n/a
10711.250,,gemma3:4b,run1_p7,126.43,62.0,,,n/a
10711.773,,gemma3:4b,run1_p7,126.41,62.0,,,n/a
10712.299,,gemma3:4b,run1_p7,126.53,63.0,,,n/a
10712.821,,gemma3:4b,run1_p7,126.25,63.0,,,n/a
10713.344,,gemma3:4b,run1_p7,126.27,63.0,,,n/a
10713.871,,gemma3:4b,run1_p7,126.70,63.0,,,n/a
10714.396,,gemma3:4b,run1_p7,126.66,63.0,,,n/a
10714.920,,gemma3:4b,run1_p7,126.30,63.0,,,n/a
10715.447,,gemma3:4b,run1_p7,126.15,63.0,,,n/a
10715.974,,gemma3:4b,run1_p7,126.21,63.0,,,n/a
10716.504,,gemma3:4b,run1_p7,125.93,62.0,,,n/a
10717.033,,gemma3:4b,run1_p7,124.86,63.0,,,n/a
10717.558,,gemma3:4b,run1_p7,125.08,63.0,,,n/a
10718.120,,gemma3:4b,run1_p8,118.40,63.0,,,n/a
10718.642,,gemma3:4b,run1_p8,107.56,56.0,,,n/a
10719.166,,gemma3:4b,run1_p8,108.12,63.0,,,n/a
10719.691,,gemma3:4b,run1_p8,126.82,64.0,,,n/a
10720.216,,gemma3:4b,run1_p8,127.01,63.0,,,n/a
10720.741,,gemma3:4b,run1_p8,127.21,64.0,,,n/a
10721.263,,gemma3:4b,run1_p8,127.18,64.0,,,n/a
10721.786,,gemma3:4b,run1_p8,127.02,64.0,,,n/a
10722.310,,gemma3:4b,run1_p8,126.73,63.0,,,n/a
10722.833,,gemma3:4b,run1_p8,126.63,64.0,,,n/a
10723.356,,gemma3:4b,run1_p8,126.59,64.0,,,n/a
10723.879,,gemma3:4b,run1_p8,126.91,63.0,,,n/a
10724.403,,gemma3:4b,run1_p8,126.99,62.0,,,n/a
10724.927,,gemma3:4b,run1_p8,126.67,64.0,,,n/a
10725.450,,gemma3:4b,run1_p8,126.85,64.0,,,n/a
10725.973,,gemma3:4b,run1_p8,126.74,64.0,,,n/a
10726.496,,gemma3:4b,run1_p8,127.07,64.0,,,n/a
10727.020,,gemma3:4b,run1_p8,124.75,64.0,,,n/a
10727.546,,gemma3:4b,run1_p8,123.73,63.0,,,n/a
10728.071,,gemma3:4b,run1_p8,125.03,64.0,,,n/a
10728.598,,gemma3:4b,run1_p8,122.88,63.0,,,n/a
10729.124,,gemma3:4b,run1_p8,122.03,63.0,,,n/a
10729.659,,gemma3:4b,run1_p8,117.29,63.0,,,n/a
10730.189,,gemma3:4b,run1_p8,102.93,60.0,,,n/a
10730.715,,gemma3:4b,run1_p8,87.48,58.0,,,n/a
10731.254,,gemma3:4b,run1_p8,81.90,57.0,,,n/a
10731.790,,gemma3:4b,run1_p8,80.09,56.0,,,n/a
10732.317,,gemma3:4b,run1_p8,78.69,56.0,,,n/a
10732.846,,gemma3:4b,run1_p9,69.45,53.0,,,n/a
10733.370,,gemma3:4b,run1_p9,58.70,54.0,,,n/a
10733.896,,gemma3:4b,run1_p9,63.02,55.0,,,n/a
10734.424,,gemma3:4b,run1_p9,77.62,56.0,,,n/a
10734.949,,gemma3:4b,run1_p9,77.98,56.0,,,n/a
10735.475,,gemma3:4b,run1_p9,77.96,55.0,,,n/a
10736.001,,gemma3:4b,run1_p10,57.84,50.0,,,n/a
10736.526,,gemma3:4b,run1_p10,46.18,51.0,,,n/a
10737.051,,gemma3:4b,run1_p10,62.21,55.0,,,n/a
10737.581,,gemma3:4b,run1_p10,78.31,55.0,,,n/a
